Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
10,https://blagoveshchensk.drom.ru/acura/tsx/47922700.html,Acura,TSX,2009.0,2.4,201.0,передний,150000.0,1100000.0,Благовещенск,бензин,АКПП
10,https://krasnodar.drom.ru/alfa_romeo/156/49007659.html,Alfa Romeo,156,1998.0,1.6,120.0,передний,240000,90000.0,Краснодар,бензин,механика
10,https://krasnodar.drom.ru/audi/tt/49111486.html,Audi,TT,2004.0,1.8,180.0,передний,69000,1250000.0,Краснодар,бензин,АКПП
10,https://rostov-na-donu.drom.ru/mazda/scrum/47857729.html,Mazda,Scrum,2018.0,0.7,49.0,4WD,151000,669999.0,Ростов-на-Дону,бензин,автомат
11,https://omsk.drom.ru/audi/s8/48776391.html,Audi,S8,2001.0,4.2,360.0,4WD,160000,680000.0,Омск,бензин,АКПП
11,https://penza.drom.ru/alfa_romeo/stelvio/48727287.html,Alfa Romeo,Stelvio,2017.0,2.0,280.0,4WD,39038,2800000.0,Пенза,бензин,АКПП
11,https://kemerovo.drom.ru/acura/mdx/48626213.html,Acura,MDX,2004.0,3.5,265.0,4WD,481000.0,500000.0,Кемерово,бензин,АКПП
11,https://rostov-na-donu.drom.ru/daewoo/leganza/48862012.html,Daewoo,Leganza,2000.0,2.2,142.0,передний,170000,125000.0,Ростов-на-Дону,бензин,АКПП
12,https://rostov-na-donu.drom.ru/daihatsu/move/48656904.html,Daihatsu,Move,2012.0,0.7,52.0,передний,150000,445000.0,Ростов-на-Дону,бензин,вариатор
12,https://noyabrsk.drom.ru/audi/a6/48437016.html,Audi,A6,2002.0,2.4,170.0,передний,318000,350000.0,Ноябрьск,бензин,вариатор
12,https://krasnodar.drom.ru/acura/mdx/48279359.html,Acura,MDX,2010.0,3.7,300.0,4WD,250000.0,1500000.0,Краснодар,бензин,АКПП
12,https://spb.drom.ru/alfa_romeo/147/48727158.html,Alfa Romeo,147,2008.0,1.6,105.0,передний,182000,535000.0,Санкт-Петербург,бензин,механика
13,https://nakhodka.drom.ru/acura/mdx/48276377.html,Acura,MDX,2007.0,3.7,300.0,4WD,134000.0,950000.0,Находка,бензин,АКПП
13,https://yaroslavl.drom.ru/audi/a6_allroad_quattro/48431761.html,Audi,A6 allroad quattro,2002.0,2.7,250.0,4WD,290000,470000.0,Ярославль,бензин,АКПП
13,https://lipetsk.drom.ru/alfa_romeo/stelvio/48031749.html,Alfa Romeo,Stelvio,2017.0,2.0,280.0,4WD,53000,2599000.0,Липецк,бензин,АКПП
13,https://rostov-na-donu.drom.ru/honda/freed/48792156.html,Honda,Freed,2018.0,1.5,131.0,передний,62000,1365000.0,Ростов-на-Дону,бензин,вариатор
14,https://rostov-na-donu.drom.ru/honda/cr-v/48744192.html,Honda,CR-V,2020.0,2.0,150.0,4WD,21000,2999999.0,Ростов-на-Дону,бензин,вариатор
14,https://kaltan.drom.ru/audi/a6_allroad_quattro/48429330.html,Audi,A6 allroad quattro,2003.0,2.7,250.0,4WD,310000,600000.0,Калтан,бензин,АКПП
14,https://yuzhno-sakhalinsk.drom.ru/acura/mdx/48072097.html,Acura,MDX,2014.0,3.5,290.0,4WD,156000.0,2430000.0,Южно-Сахалинск,бензин,АКПП
15,https://vladivostok.drom.ru/alfa_romeo/giulietta/48228773.html,Alfa Romeo,Giulietta,2013.0,1.6,160.0,передний,20000,550000.0,Владивосток,бензин,автомат
15,https://rostov-na-donu.drom.ru/audi/a6/46888495.html,Audi,A6,2016.0,2.0,249.0,4WD,82000,2499999.0,Ростов-на-Дону,бензин,робот
15,https://svetlograd.drom.ru/audi/a6/48427813.html,Audi,A6,2003.0,2.5,163.0,передний,329000,420000.0,Светлоград,дизель,вариатор
15,https://spb.drom.ru/acura/tl/47598798.html,Acura,TL,2012.0,3.5,280.0,передний,61465.0,1100000.0,Санкт-Петербург,бензин,АКПП
