Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
63530,https://tomsk.drom.ru/suzuki/swift/49000861.html,,,,,,,,,,,,,,,,0,
63531,https://vladivostok.drom.ru/suzuki/grand_vitara/49000673.html,Suzuki,Grand Vitara,Владивосток,2006,бензин,2.7,185,АКПП,4WD,джип/suv 5 дв.,серый,168000,левый,2 поколение,2.7 AT 4WD Luxury,1,775000
63532,https://novosibirsk.drom.ru/suzuki/grand_vitara/47176254.html,Suzuki,Grand Vitara,Новосибирск,2008,бензин,2.0,140,АКПП,4WD,джип/suv 5 дв.,черный,210000,левый,2 поколение,2.0 AT Base,0,810000
63533,https://krasnoyarsk.drom.ru/suzuki/swift/47231150.html,,,,,,,,,,,,,,,,0,
63534,https://simferopol.drom.ru/suzuki/sx4/48999557.html,Suzuki,SX4,Симферополь,2007,бензин,1.6,107,АКПП,передний,седан,серебристый,147000,левый,1 поколение,1.6 AT 2WD Comfort,1,600000
63535,https://moscow.drom.ru/suzuki/grand_vitara/48999269.html,Suzuki,Grand Vitara,Москва,2007,бензин,2.0,140,АКПП,4WD,джип/suv 5 дв.,черный,188000,левый,2 поколение,,0,775000
63536,https://lysva.drom.ru/suzuki/sx4/48999179.html,Suzuki,SX4,Лысьва,2009,бензин,1.5,99,механика,передний,хэтчбек 5 дв.,голубой,119000,левый,1 поколение,1.5 MT 2WD Streetline Classic,1,595000
63537,https://salehard.drom.ru/suzuki/grand_vitara/48493421.html,Suzuki,Grand Vitara,Салехард,2007,бензин,2.0,140,механика,4WD,джип/suv 5 дв.,синий,267000,левый,2 поколение,,1,650000
63538,https://podolsk.drom.ru/suzuki/swift/48998966.html,Suzuki,Swift,Подольск,2009,бензин,1.5,102,АКПП,передний,хэтчбек 5 дв.,синий,82000,левый,"3 поколение, рестайлинг",1.5 AT Comfort,0,560000
63539,https://nizhniy-novgorod.drom.ru/suzuki/grand_vitara/48998875.html,Suzuki,Grand Vitara,Нижний Новгород,2008,бензин,2.4,169,АКПП,4WD,джип/suv 5 дв.,серебристый,183737,левый,"2 поколение, рестайлинг",2.4 AT Comfort,0,799000
63540,https://barnaul.drom.ru/suzuki/grand_vitara/48997877.html,Suzuki,Grand Vitara,Барнаул,2005,бензин,1.6,94,АКПП,4WD,джип/suv 3 дв.,серебристый,170000,левый,1 поколение,1.6 AT,0,580000
63541,https://izhevsk.drom.ru/suzuki/sx4/48997358.html,Suzuki,SX4,Ижевск,2007,бензин,1.6,106,механика,передний,хэтчбек 5 дв.,красный,170000,левый,,,0,459000
63542,https://vladivostok.drom.ru/suzuki/swift/47175438.html,Suzuki,Swift,Владивосток,2009,бензин,1.2,90,вариатор,передний,хэтчбек 5 дв.,серый,230000,правый,"3 поколение, рестайлинг",,0,395000
63543,https://novosibirsk.drom.ru/suzuki/sx4/47702186.html,Suzuki,SX4,Новосибирск,2009,бензин,1.5,111,АКПП,передний,хэтчбек 5 дв.,белый,180000,правый,1 поколение,1.5G,0,590000
63544,https://moscow.drom.ru/suzuki/grand_vitara/48996064.html,Suzuki,Grand Vitara,Москва,2006,бензин,1.6,106,механика,4WD,джип/suv 3 дв.,красный,174812,левый,2 поколение,,1,600000
63545,https://vladivostok.drom.ru/suzuki/escudo/48832432.html,Suzuki,Escudo,Владивосток,2005,бензин,2.0,145,АКПП,4WD,джип/suv 5 дв.,серый,193000,правый,3 поколение,,0,640000
63546,https://krasnoyarsk.drom.ru/suzuki/grand_vitara/48995950.html,Suzuki,Grand Vitara,Красноярск,2007,бензин,2.0,140,АКПП,4WD,джип/suv 5 дв.,серый,198000,левый,2 поколение,2.0 AT Base (кожа) ,1,720000
63547,https://severobaykalsk.drom.ru/suzuki/grand_vitara/48292997.html,Suzuki,Grand Vitara,Северобайкальск,2008,бензин,2.4,169,АКПП,4WD,джип/suv 5 дв.,белый,121000,левый,"2 поколение, рестайлинг",2.4 AT JLX-EL ,0,850000
63548,https://tynda.drom.ru/suzuki/escudo/48995274.html,Suzuki,Escudo,Тында,2008,бензин,2.0,145,АКПП,4WD,джип/suv 5 дв.,серый,224000,правый,3 поколение,2.0 XE 4WD,1,870000
63549,https://kamen-rybolov.drom.ru/suzuki/jimny_sierra/48994976.html,Suzuki,Jimny Sierra,Камень-Рыболов,2006,бензин,1.3,88,АКПП,4WD,,белый,182000,правый,3 поколение,,0,620000
63550,https://novosibirsk.drom.ru/suzuki/jimny/48305580.html,Suzuki,Jimny,Новосибирск,2008,бензин,1.3,85,АКПП,4WD,,серый,100000,левый,"3 поколение, рестайлинг",JLX AT,0,720000
63551,https://vladivostok.drom.ru/suzuki/jimny/48173889.html,Suzuki,Jimny,Владивосток,2008,бензин,0.7,64,АКПП,4WD,,черный,173000,правый,"3 поколение, рестайлинг",660 Land Venture 4WD,0,590000
63552,https://kupino.drom.ru/suzuki/wagon_r/47965846.html,Suzuki,Wagon R,Купино,2005,бензин,0.7,54,АКПП,передний,,черный,200000,правый,"3 поколение, рестайлинг",,0,330000
63553,https://komsomolsk.drom.ru/suzuki/jimny/47960741.html,Suzuki,Jimny,Комсомольск-на-Амуре,2005,бензин,0.7,64,АКПП,4WD,,белый,200000,правый,"3 поколение, рестайлинг",,0,150000
63554,https://kyzyl.drom.ru/suzuki/grand_vitara/47831003.html,Suzuki,Grand Vitara,Кызыл,2005,бензин,2.0,140,АКПП,4WD,джип/suv 5 дв.,синий,260000,левый,2 поколение,,0,655000
63555,https://vladivostok.drom.ru/suzuki/escudo/47304293.html,Suzuki,Escudo,Владивосток,2008,бензин,2.4,166,АКПП,4WD,джип/suv 5 дв.,черный,142000,правый,"3 поколение, рестайлинг",2.4 XE 4WD,0,950000
