Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
23707,https://tyumen.drom.ru/bmw/3-series/49156198.html,BMW,3-Series,Тюмень,2006,бензин,2.5,218,АКПП,задний,седан,серебристый,230000,левый,5 поколение,325i AT,0,400000
23712,https://krasnoyarsk.drom.ru/bmw/x5/46749960.html,BMW,X5,Красноярск,2008,бензин,4.8,355,АКПП,4WD,,черный,124900,левый,2 поколение,xDrive 48i AT Sport,0,1275000
23714,https://kemerovo.drom.ru/bmw/x5/49154742.html,BMW,X5,Кемерово,2008,бензин,3.0,272,АКПП,4WD,,белый,180000,левый,2 поколение,,0,1299000
23715,https://spb.drom.ru/bmw/x3/49029044.html,BMW,X3,Тверь,2005,дизель,3.0,204,АКПП,4WD,,черный,230299,левый,1 поколение,3.0d AT,0,890000
23716,https://ekaterinburg.drom.ru/bmw/5-series/49154694.html,BMW,5-Series,Екатеринбург,2008,бензин,2.5,218,АКПП,задний,седан,красный,241104,левый,"5 поколение, рестайлинг",525i AT ,0,849960
23717,https://omsk.drom.ru/bmw/x5/48879275.html,BMW,X5,Омск,2005,дизель,3.0,218,АКПП,4WD,,черный,228125,левый,"1 поколение, рестайлинг",,0,1061000
23718,https://novosibirsk.drom.ru/bmw/3-series/48786075.html,BMW,3-Series,Новосибирск,2008,бензин,3.0,306,АКПП,задний,купе,черный,210000,левый,5 поколение,335i AT,0,1300000
23719,https://barnaul.drom.ru/bmw/5-series/49154268.html,BMW,5-Series,Барнаул,2009,дизель,2.0,177,АКПП,задний,седан,синий,208000,левый,"5 поколение, рестайлинг",,0,1200000
23720,https://surgut.drom.ru/bmw/3-series/48936458.html,BMW,3-Series,Сургут,2009,бензин,2.0,156,АКПП,задний,седан,синий,158800,левый,"5 поколение, рестайлинг",,0,769000
23721,https://krasnoyarsk.drom.ru/bmw/1-series/46006268.html,BMW,1-Series,Красноярск,2007,бензин,2.0,136,АКПП,задний,хэтчбек 5 дв.,черный,200000,левый,"1 поколение, рестайлинг",118i AT Base,0,550000
23722,https://ekaterinburg.drom.ru/bmw/5-series/49154096.html,BMW,5-Series,Екатеринбург,2008,дизель,3.0,235,АКПП,4WD,седан,черный,280000,левый,"5 поколение, рестайлинг",530xd AT xDrive,0,1250000
23723,https://tyumen.drom.ru/bmw/3-series/47093085.html,BMW,3-Series,Тюмень,2008,бензин,2.0,156,АКПП,задний,седан,серый,130000,левый,5 поколение,320i AT,0,750000
23724,https://stavropol.drom.ru/bmw/1-series/48827059.html,BMW,1-Series,Ставрополь,2005,бензин,1.6,115,механика,задний,хэтчбек 5 дв.,серебристый,256000,левый,1 поколение,116i MT Base,0,530000
23725,https://gelendzhik.drom.ru/bmw/x5/48826450.html,BMW,X5,Геленджик,2006,дизель,3.0,218,АКПП,4WD,,черный,270000,левый,"1 поколение, рестайлинг",3.0d AT xDrive,0,900000
23727,https://krasnodar.drom.ru/bmw/3-series/48825908.html,BMW,3-Series,Краснодар,2005,бензин,2.0,150,АКПП,задний,седан,черный,339000,левый,5 поколение,320i AT,0,685000
23728,https://novosibirsk.drom.ru/bmw/x3/48822789.html,BMW,X3,Новосибирск,2008,бензин,3.0,272,АКПП,4WD,,черный,140000,левый,"1 поколение, рестайлинг",xDrive 30i AT,0,880000
