Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
2999,https://petropavlovsk-kamchatskiy.drom.ru/toyota/aristo/47576177.html,Toyota,Aristo,Петропавловск-Камчатский,1999,бензин,3.0,230,АКПП,задний,,черный,240000,правый,2 поколение,3.0 S300 Vertex edition,0,1200000
3000,https://irkutsk.drom.ru/lada/2104/48957206.html,Лада,2104,Иркутск,1994,бензин,1.5,71,механика,задний,,белый,100000,левый,1 поколение,,1,40000
3001,https://omsk.drom.ru/lada/granta/47039368.html,Лада,Гранта,Омск,2014,бензин,1.6,98,механика,передний,седан,черный,52000,левый,1 поколение,1.6 MT Люкс 023,0,499000
3002,https://ust-labinsk.drom.ru/hyundai/accent/49146473.html,Hyundai,Accent,Усть-Лабинск,1998,бензин,1.5,90,АКПП,передний,седан,синий,290000,левый,"1 поколение, рестайлинг",1.5 AT Base,0,145000
3003,https://elets.drom.ru/lada/2110/49146472.html,Лада,2110,Елец,2001,бензин,1.5,91,механика,передний,,зеленый,200000,,1 поколение,1.5i MT 21108 Премьер,0,75000
3004,https://barnaul.drom.ru/toyota/rav4/49146387.html,Toyota,RAV4,Барнаул,2011,бензин,2.0,148,вариатор,4WD,джип/suv 5 дв.,золотистый,172500,левый,"3 поколение, 2 рестайлинг",2.0 CVT Комфорт,0,1370000
3005,https://moscow.drom.ru/lada/largus/49146471.html,Лада,Ларгус,Москва,2018,бензин,1.6,87,механика,передний,универсал,белый,50408,левый,1 поколение,,0,668000
3006,https://krasnoturinsk.drom.ru/volkswagen/polo/49146470.html,Volkswagen,Polo,Краснотурьинск,2000,бензин,1.0,50,механика,передний,хэтчбек 5 дв.,серый,142000,левый,"3 поколение, рестайлинг",,0,200000
3007,https://tomsk.drom.ru/lada/granta/49146469.html,Лада,Гранта,Томск,2019,бензин,1.6,87,механика,передний,седан,серый,63500,левый,"1 поколение, рестайлинг",1.6 MT Classic,0,550000
3008,https://barnaul.drom.ru/lada/2115/49146468.html,Лада,2115 Самара,Барнаул,2007,бензин,1.6,81,механика,передний,,зеленый,147986,левый,1 поколение,,1,130000
3009,https://krasnodar.drom.ru/ford/focus/49146467.html,Ford,Focus,Краснодар,2013,бензин,1.6,105,механика,передний,седан,белый,164000,левый,3 поколение,,0,1590000
3010,https://krasnodar.drom.ru/opel/antara/49146465.html,Opel,Antara,Краснодар,2013,бензин,3.0,249,АКПП,4WD,,белый,123689,левый,"1 поколение, рестайлинг",3.0 AT Cosmo V6,0,3000000
3011,https://krasnodar.drom.ru/subaru/xv/49146463.html,Subaru,XV,Краснодар,2014,бензин,2.0,150,вариатор,4WD,,белый,140000,левый,1 поколение,,0,3375000
3012,https://podolsk.drom.ru/lada/2112/49146462.html,Лада,2112,Подольск,2004,бензин,1.6,89,механика,передний,хэтчбек 5 дв.,серебристый,22000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,0,90000
3013,https://moscow.drom.ru/volkswagen/touran/49146461.html,Volkswagen,Touran,Москва,2008,дизель,2.0,140,робот,передний,,синий,206834,левый,"1 поколение, рестайлинг",,0,568000
3014,https://kuybyshev.drom.ru/lada/2121_4x4_niva/49146458.html,Лада,4x4 2121 Нива,Куйбышев,2014,бензин,1.7,83,механика,4WD,,бордовый,115000,левый,1 поколение,,0,450000
3015,https://rubtsovsk.drom.ru/lada/2107/49146331.html,Лада,2107,Рубцовск,2005,бензин,1.6,74,механика,задний,,зеленый,1,,1 поколение,1.6 MT 21074-30-011,0,85000
3016,https://krasnodar.drom.ru/mercedes-benz/gle-class/49146456.html,Mercedes-Benz,GLE,Краснодар,2016,дизель,3.0,249,АКПП,4WD,,черный,141000,левый,1 поколение,"GLE 350d 4MATIC ""Особая серия""",0,9300000
3017,https://omsk.drom.ru/toyota/vitz/49146333.html,Toyota,Vitz,Омск,2011,бензин,1.0,69,вариатор,передний,хэтчбек 5 дв.,серый,70000,правый,3 поколение,1.0 F M package,0,685000
3018,https://armavir.drom.ru/kia/rio/49146454.html,Kia,Rio,Армавир,2011,бензин,1.4,95,АКПП,передний,седан,красный,,левый,"2 поколение, рестайлинг",1.4 AT Prestige,0,570000
3023,https://irkutsk.drom.ru/mazda/cx-5/49146432.html,Mazda,CX-5,Иркутск,2015,бензин,2.0,150,АКПП,передний,,черный,142000,левый,"1 поколение, рестайлинг",2.0 AT Active,0,1650000
3024,https://novosibirsk.drom.ru/honda/crosstour/46895094.html,Honda,Crosstour,Новосибирск,2014,бензин,2.4,194,АКПП,передний,,белый,210000,левый,"1 поколение, рестайлинг",2.4  AT Executive,0,1650000
