Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
25725,https://spb.drom.ru/bmw/3-series/49151154.html,,,,,,,,,,,,,,,,0,
25731,https://moscow.drom.ru/bmw/7-series/49150851.html,BMW,7-Series,Москва,2011,бензин,4.4,407,АКПП,4WD,,серый,171059,левый,5 поколение,750i AT xDrive,1,650000
25732,https://simferopol.drom.ru/bmw/5-series/49150806.html,BMW,5-Series,Симферополь,2012,бензин,2.0,184,АКПП,задний,седан,серый,124000,левый,6 поколение,520i AT Business ,0,1670000
25779,https://eiysk.drom.ru/bmw/x3/48481193.html,BMW,X3,Ейск,2013,бензин,2.0,245,АКПП,4WD,,черный,220000,левый,2 поколение,xDrive 28i AT Exclusive,0,1750000
25780,https://moscow.drom.ru/bmw/x5/48480770.html,BMW,X5,Москва,2010,бензин,3.0,306,АКПП,4WD,,серый,273000,левый,"2 поколение, рестайлинг",,0,1300000
25789,https://moscow.drom.ru/bmw/6-series/48136134.html,BMW,6-Series,Москва,2012,дизель,3.0,313,АКПП,задний,седан,черный,120578,левый,3 поколение,640d AT,0,1985950
25790,https://voronezh.drom.ru/bmw/3-series/48131110.html,BMW,3-Series,Воронеж,2013,бензин,1.6,136,АКПП,задний,седан,белый,217000,левый,6 поколение,316i AT,0,1100000
25791,https://novosibirsk.drom.ru/bmw/5-series/48130754.html,BMW,5-Series,Новосибирск,2012,бензин,2.0,245,АКПП,задний,седан,синий,130000,левый,6 поколение,528i AT Business ,0,1600000
25792,https://surgut.drom.ru/bmw/5-series/48129863.html,BMW,5-Series,Сургут,2014,дизель,2.0,190,АКПП,задний,седан,черный,183000,левый,"6 поколение, рестайлинг",520d AT,0,1600000
25793,https://tambov.drom.ru/bmw/5-series/48127147.html,BMW,5-Series,Тамбов,2011,бензин,3.0,258,АКПП,задний,седан,золотистый,205000,левый,6 поколение,528i AT,0,1200000
25794,https://moscow.drom.ru/bmw/5-series/48050569.html,BMW,5-Series,Москва,2013,бензин,2.0,245,АКПП,4WD,седан,белый,298000,левый,6 поколение,528i AT xDrive Luxury ,0,1650000
25795,https://seversk.drom.ru/bmw/x5/48043280.html,BMW,X5,Северск,2011,дизель,3.0,265,АКПП,4WD,,серый,197000,левый,"2 поколение, рестайлинг",xDrive 35d AT,0,1900000
25796,https://prokopyevsk.drom.ru/bmw/5-series/47913740.html,BMW,5-Series,Прокопьевск,2013,бензин,2.0,245,АКПП,4WD,седан,черный,190000,левый,"6 поколение, рестайлинг",,0,1750000
25797,https://noviy-urengoy.drom.ru/bmw/3-series/47845577.html,BMW,3-Series,Новый Уренгой,2013,бензин,2.0,184,АКПП,задний,седан,черный,110000,левый,6 поколение,320i AT,0,1500000
25798,https://surgut.drom.ru/bmw/x5/47798001.html,BMW,X5,Сургут,2010,бензин,4.4,407,АКПП,4WD,,черный,154000,левый,"2 поколение, рестайлинг",xDrive 50i AT,0,1800000
25799,https://rostov-na-donu.drom.ru/bmw/3-series/47797759.html,BMW,3-Series,Ростов-на-Дону,2010,бензин,2.0,156,АКПП,задний,седан,черный,270000,левый,"5 поколение, рестайлинг",320i AT Базовая ,0,890000
25800,https://ekaterinburg.drom.ru/bmw/1-series/47796868.html,BMW,1-Series,Екатеринбург,2012,бензин,1.6,136,АКПП,задний,хэтчбек 5 дв.,черный,183000,левый,2 поколение,116i AT Базовая ,0,969600
