Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
2890,https://slavgorod.drom.ru/mazda/cx-7/47188995.html,Mazda,CX-7,Славгород,2008,бензин,2.3,238,АКПП,4WD,,,174000,левый,1 поколение,2.3 AT 4WD,0,700000
2891,https://omsk.drom.ru/mazda/mazda5/49117298.html,Mazda,Mazda5,Омск,2006,бензин,2.3,157,АКПП,передний,,серый,158000,левый,2 поколение,2.3 AT Touring,0,640000
2892,https://buguruslan.drom.ru/mazda/mazda6/49117381.html,Mazda,Mazda6,Бугуруслан,2006,бензин,2.0,147,механика,передний,седан,серебристый,200000,левый,"1 поколение, рестайлинг",2.0 MT Active,0,415000
2893,https://spb.drom.ru/mazda/mazda6/49117333.html,Mazda,Mazda6,Санкт-Петербург,2008,бензин,2.5,170,механика,передний,седан,фиолетовый,217000,левый,2 поколение,,0,710000
2894,https://stavropol.drom.ru/mazda/cx-7/48076683.html,Mazda,CX-7,Ставрополь,2006,бензин,2.3,244,АКПП,4WD,,серый,,левый,1 поколение,,0,300000
2895,https://barnaul.drom.ru/mazda/axela/48922814.html,Mazda,Axela,Барнаул,2006,бензин,1.5,114,АКПП,передний,седан,синий,210000,правый,1 поколение,1.5 15C,0,449000
2896,https://ekaterinburg.drom.ru/mazda/mazda6/49116873.html,Mazda,Mazda6,Екатеринбург,2008,бензин,2.0,147,механика,передний,лифтбек,белый,248000,левый,2 поколение,2.0 MT Touring,0,770000
2897,https://nizhnevartovsk.drom.ru/mazda/cx-7/45097636.html,Mazda,CX-7,Нижневартовск,2007,бензин,2.3,238,АКПП,4WD,,черный,171000,левый,1 поколение,2.3 AT 4WD,1,420000
2898,https://vladivostok.drom.ru/mazda/demio/49116726.html,Mazda,Demio,Владивосток,2005,бензин,1.5,113,АКПП,4WD,,серый,223000,правый,"2 поколение, рестайлинг",1.5 casual e-4WD,0,200000
2899,https://krasnodar.drom.ru/mazda/mazda3/46034752.html,Mazda,Mazda3,Краснодар,2007,бензин,1.6,105,механика,передний,седан,бордовый,193000,левый,"1 поколение, рестайлинг",,0,449000
2900,https://simferopol.drom.ru/mazda/mazda3/49116740.html,Mazda,Mazda3,Симферополь,2008,бензин,1.6,105,АКПП,передний,седан,черный,189000,левый,"1 поколение, рестайлинг",1.6 AT Active Plus,0,500000
2901,https://chelyabinsk.drom.ru/mazda/mazda6/49116510.html,Mazda,Mazda6,Челябинск,2007,бензин,2.0,147,механика,передний,лифтбек,синий,188000,левый,,,0,690000
2902,https://ulyanovka.drom.ru/mazda/mazda3/48680676.html,Mazda,Mazda3,Ульяновка,2006,бензин,1.6,105,АКПП,передний,седан,голубой,166023,левый,1 поколение,,0,380000
2904,https://irkutsk.drom.ru/mazda/premacy/49032373.html,,,,,,,,,,,,,,,,0,
2905,https://barnaul.drom.ru/mazda/mazda6/47767662.html,Mazda,Mazda6,Барнаул,2007,бензин,1.8,120,механика,передний,седан,черный,229000,левый,2 поколение,1.8 MT Touring,0,650000
2906,https://ekaterinburg.drom.ru/mazda/cx-9/49116288.html,Mazda,CX-9,Екатеринбург,2008,бензин,3.7,277,АКПП,4WD,,серый,208000,левый,1 поколение,3.7 Sport,0,899000
2907,https://novosibirsk.drom.ru/mazda/mazda3/48809280.html,Mazda,Mazda3,Новосибирск,2008,бензин,2.0,150,АКПП,передний,седан,,236497,левый,"1 поколение, рестайлинг",2.0 AT Touring,0,645000
2908,https://kemerovo.drom.ru/mazda/demio/49116145.html,Mazda,Demio,Кемерово,2009,бензин,1.3,91,АКПП,передний,,белый,152000,правый,3 поколение,1.3 13S,0,480000
2909,https://maykop.drom.ru/mazda/mazda6/48380098.html,Mazda,Mazda6,Майкоп,2006,бензин,1.8,120,механика,передний,седан,синий,205000,левый,"1 поколение, рестайлинг",,0,430000
2910,https://kemerovo.drom.ru/mazda/mazda3/48799816.html,Mazda,Mazda3,Кемерово,2006,бензин,1.6,105,АКПП,передний,седан,красный,193000,левый,1 поколение,1.6 AT Touring,0,440000
2911,https://novokuznetsk.drom.ru/mazda/mazda6/49105697.html,Mazda,Mazda6,Новокузнецк,2005,бензин,2.0,141,механика,передний,седан,серый,263000,левый,1 поколение,2.0 MT Exclusive,0,395000
2912,https://krasnoyarsk.drom.ru/mazda/mazda3/49047384.html,Mazda,Mazda3,Красноярск,2008,бензин,2.0,150,АКПП,передний,седан,красный,220000,левый,"1 поколение, рестайлинг",2.0 AT Flash Edition,0,597000
2913,https://novosibirsk.drom.ru/mazda/axela/48610635.html,Mazda,Axela,Новосибирск,2006,бензин,1.5,114,АКПП,передний,хэтчбек 5 дв.,серый,179000,правый,"1 поколение, рестайлинг",1.5 15F,0,460000
2914,https://bogdanovich.drom.ru/mazda/mazda6/49124700.html,Mazda,Mazda6,Богданович,2005,бензин,2.0,147,АКПП,передний,седан,серый,,левый,"1 поколение, рестайлинг",,0,350000
2915,https://osinniki.drom.ru/mazda/mazda3/48714520.html,Mazda,Mazda3,Осинники,2008,бензин,1.6,105,механика,передний,седан,серый,270000,левый,"1 поколение, рестайлинг",1.6 MT Touring,0,400000
